time (s),/Bin<1> (V),Expression ,Value,Value,time (s),/Bin<0> (V),/Ain<0> (V),,
1.61E-08,1.8, , , ,3.06E-09,0,1.8,,
1.61E-08,1.8, , , ,3.11E-09,0,1.8,,
1.61E-08,1.8, , , ,3.18E-09,0,1.8,,
1.61E-08,1.8, , , ,3.26E-09,0,1.8,,
1.61E-08,1.8, , , ,3.36E-09,0,1.8,,
1.61E-08,1.8, , , ,3.44E-09,0,1.8,,
1.61E-08,1.8, , , ,3.52E-09,0,1.8,,
1.61E-08,1.8, , , ,3.62E-09,0,1.8,,
1.62E-08,1.8, , , ,3.71E-09,0,1.8,,
1.75E-08,1.8, , , ,3.82E-09,0,1.8,,
1.62E-08,1.8, , , ,3.91E-09,0,1.8,,
1.62E-08,1.8, , , ,4.00E-09,0,1.8,,
1.62E-08,1.8, , , ,4.01E-09,1.19E-01,1.8,,
1.62E-08,1.8, , , ,4.02E-09,3.07E-01,1.8,,
1.62E-08,1.8, , , ,4.03E-09,5.58E-01,1.8,,
1.62E-08,1.8, , , ,4.04E-09,7.91E-01,1.8,,
1.62E-08,1.8, , , ,4.06E-09,1.047,1.8,,
1.62E-08,1.8, , , ,4.07E-09,1.295,1.8,,
1.62E-08,1.8, , , ,4.08E-09,1.494,1.8,,
1.62E-08,1.8, , , ,4.09E-09,1.647,1.8,,
1.62E-08,1.8, , , ,4.10E-09,1.8,1.8,,
1.62E-08,1.8, , , ,4.10E-09,1.8,1.756,,
1.62E-08,1.8, , , ,4.11E-09,1.8,1.687,,
1.81E-08,1.8, , , ,4.11E-09,1.8,1.624,,
2.01E-08,1.8, , , ,4.11E-09,1.8,1.542,,
2.01E-08,1.8, , , ,4.12E-09,1.8,1.431,,
2.01E-08,1.8, , , ,4.13E-09,1.8,1.332,,
2.01E-08,1.8, , , ,4.13E-09,1.8,1.228,,
2.01E-08,1.8, , , ,4.14E-09,1.8,1.108,,
2.01E-08,1.8, , , ,4.15E-09,1.8,9.80E-01,,
2.01E-08,1.8, , , ,4.16E-09,1.8,8.10E-01,,
2.01E-08,1.8, , , ,4.17E-09,1.8,6.18E-01,,
1.81E-08,1.8, , , ,4.18E-09,1.8,4.20E-01,,
