Expression ,Value,time (s),/Bin<0> (V),/Ain<0> (V),/Bin<1> (V),/Ain<1> (V),,
 , ,8.23E-09,1.8,0,0,1.8,,
 , ,8.24E-09,1.8,0,0,1.8,,
 , ,8.24E-09,1.8,0,0,1.8,,
 , ,8.25E-09,1.8,0,0,1.8,,
 , ,8.26E-09,1.8,0,0,1.8,,
 , ,8.27E-09,1.8,0,0,1.8,,
 , ,8.28E-09,1.8,0,0,1.8,,
 , ,8.29E-09,1.8,0,0,1.8,,
 , ,8.31E-09,1.8,0,0,1.8,,
 , ,8.33E-09,1.8,0,0,1.8,,
 , ,8.35E-09,1.8,0,0,1.8,,
 , ,8.37E-09,1.8,0,0,1.8,,
 , ,8.39E-09,1.8,0,0,1.8,,
 , ,8.40E-09,1.8,0,0,1.8,,
 , ,8.41E-09,1.8,0,0,1.8,,
 , ,8.42E-09,1.8,0,0,1.8,,
 , ,8.42E-09,1.8,0,0,1.8,,
 , ,8.43E-09,1.8,0,0,1.8,,
 , ,8.43E-09,1.8,0,0,1.8,,
 , ,8.44E-09,1.8,0,0,1.8,,
 , ,8.44E-09,1.8,0,0,1.8,,
 , ,8.45E-09,1.8,0,0,1.8,,
 , ,8.45E-09,1.8,0,0,1.8,,
 , ,8.46E-09,1.8,0,0,1.8,,
 , ,8.47E-09,1.8,0,0,1.8,,
 , ,8.48E-09,1.8,0,0,1.8,,
 , ,8.49E-09,1.8,0,0,1.8,,
 , ,8.51E-09,1.8,0,0,1.8,,
 , ,8.52E-09,1.8,0,0,1.8,,
 , ,8.54E-09,1.8,0,0,1.8,,
 , ,8.56E-09,1.8,0,0,1.8,,
 , ,8.57E-09,1.8,0,0,1.8,,
 , ,8.59E-09,1.8,0,0,1.8,,
 , ,8.61E-09,1.8,0,0,1.8,,
 , ,8.61E-09,1.8,0,0,1.8,,
 , ,8.62E-09,1.8,0,0,1.8,,
 , ,8.63E-09,1.8,0,0,1.8,,
 , ,8.63E-09,1.8,0,0,1.8,,
 , ,8.64E-09,1.8,0,0,1.8,,
 , ,8.64E-09,1.8,0,0,1.8,,
 , ,8.65E-09,1.8,0,0,1.8,,
 , ,8.65E-09,1.8,0,0,1.8,,
 , ,8.66E-09,1.8,0,0,1.8,,
 , ,8.66E-09,1.8,0,0,1.8,,
 , ,8.67E-09,1.8,0,0,1.8,,
 , ,8.68E-09,1.8,0,0,1.8,,
 , ,8.69E-09,1.8,0,0,1.8,,
 , ,8.71E-09,1.8,0,0,1.8,,
 , ,8.72E-09,1.8,0,0,1.8,,
 , ,8.74E-09,1.8,0,0,1.8,,
 , ,8.76E-09,1.8,0,0,1.8,,
 , ,8.78E-09,1.8,0,0,1.8,,
 , ,8.80E-09,1.8,0,0,1.8,,
 , ,8.82E-09,1.8,0,0,1.8,,
 , ,8.83E-09,1.8,0,0,1.8,,
 , ,8.83E-09,1.8,0,0,1.8,,
 , ,8.84E-09,1.8,0,0,1.8,,
 , ,8.85E-09,1.8,0,0,1.8,,
 , ,8.85E-09,1.8,0,0,1.8,,
 , ,8.86E-09,1.8,0,0,1.8,,
 , ,8.86E-09,1.8,0,0,1.8,,
 , ,8.87E-09,1.8,0,0,1.8,,
 , ,8.88E-09,1.8,0,0,1.8,,
 , ,8.89E-09,1.8,0,0,1.8,,
 , ,8.90E-09,1.8,0,0,1.8,,
 , ,8.92E-09,1.8,0,0,1.8,,
 , ,8.93E-09,1.8,0,0,1.8,,
 , ,8.95E-09,1.8,0,0,1.8,,
 , ,8.97E-09,1.8,0,0,1.8,,
 , ,8.99E-09,1.8,0,0,1.8,,
 , ,9.02E-09,1.8,0,0,1.8,,
 , ,9.07E-09,1.8,0,0,1.8,,
 , ,9.13E-09,1.8,0,0,1.8,,
 , ,9.20E-09,1.8,0,0,1.8,,
 , ,9.29E-09,1.8,0,0,1.8,,
 , ,9.38E-09,1.8,0,0,1.8,,
 , ,9.46E-09,1.8,0,0,1.8,,
 , ,9.54E-09,1.8,0,0,1.8,,
 , ,9.66E-09,1.8,0,0,1.8,,
 , ,9.74E-09,1.8,0,0,1.8,,
 , ,9.86E-09,1.8,0,0,1.8,,
 , ,9.93E-09,1.8,0,0,1.8,,
