Expression ,Value,time (s),/Bin<0> (V),/Ain<0> (V),/Bin<1> (V),/Ain<1> (V)
 , ,4.145E-9,993.9E-3,993.9E-3,993.9E-3,993.9E-3
 , ,4.152E-9,857.0E-3,857.0E-3,857.0E-3,857.0E-3
 , ,4.161E-9,698.9E-3,698.9E-3,698.9E-3,698.9E-3
 , ,4.172E-9,512.0E-3,512.0E-3,512.0E-3,512.0E-3
 , ,4.181E-9,338.1E-3,338.1E-3,338.1E-3,338.1E-3
 , ,4.187E-9,230.1E-3,230.1E-3,230.1E-3,230.1E-3
 , ,4.193E-9,117.9E-3,117.9E-3,117.9E-3,117.9E-3
 , ,4.197E-9,58.93E-3,58.93E-3,58.93E-3,58.93E-3
 , ,4.200E-9,0.000,0.000,0.000,0.000
 , ,4.202E-9,0.000,0.000,0.000,0.000
 , ,4.204E-9,0.000,0.000,0.000,0.000
 , ,4.206E-9,0.000,0.000,0.000,0.000
 , ,4.211E-9,0.000,0.000,0.000,0.000
 , ,4.216E-9,0.000,0.000,0.000,0.000
 , ,4.222E-9,0.000,0.000,0.000,0.000
 , ,4.228E-9,0.000,0.000,0.000,0.000
 , ,4.237E-9,0.000,0.000,0.000,0.000
 , ,4.247E-9,0.000,0.000,0.000,0.000
 , ,4.256E-9,0.000,0.000,0.000,0.000
 , ,4.267E-9,0.000,0.000,0.000,0.000
 , ,4.279E-9,0.000,0.000,0.000,0.000
 , ,4.293E-9,0.000,0.000,0.000,0.000
 , ,4.308E-9,0.000,0.000,0.000,0.000
 , ,4.320E-9,0.000,0.000,0.000,0.000
 , ,4.335E-9,0.000,0.000,0.000,0.000
 , ,4.347E-9,0.000,0.000,0.000,0.000
 , ,4.355E-9,0.000,0.000,0.000,0.000
 , ,4.365E-9,0.000,0.000,0.000,0.000
 , ,4.373E-9,0.000,0.000,0.000,0.000
 , ,4.380E-9,0.000,0.000,0.000,0.000
 , ,4.389E-9,0.000,0.000,0.000,0.000
 , ,4.395E-9,0.000,0.000,0.000,0.000
 , ,4.402E-9,0.000,0.000,0.000,0.000
 , ,4.406E-9,0.000,0.000,0.000,0.000
 , ,4.410E-9,0.000,0.000,0.000,0.000
 , ,4.415E-9,0.000,0.000,0.000,0.000
 , ,4.419E-9,0.000,0.000,0.000,0.000
 , ,4.426E-9,0.000,0.000,0.000,0.000
 , ,4.431E-9,0.000,0.000,0.000,0.000
 , ,4.437E-9,0.000,0.000,0.000,0.000
 , ,4.445E-9,0.000,0.000,0.000,0.000
 , ,4.457E-9,0.000,0.000,0.000,0.000
 , ,4.470E-9,0.000,0.000,0.000,0.000
 , ,4.486E-9,0.000,0.000,0.000,0.000
 , ,4.500E-9,0.000,0.000,0.000,0.000
 , ,4.515E-9,0.000,0.000,0.000,0.000
 , ,4.528E-9,0.000,0.000,0.000,0.000
 , ,4.544E-9,0.000,0.000,0.000,0.000
 , ,4.555E-9,0.000,0.000,0.000,0.000
 , ,4.563E-9,0.000,0.000,0.000,0.000
