Expression ,Value,time (s),/Bin<1> (V),/Ain<1> (V),/Ain<0> (V),/Bin<0> (V)
 , ,2.219E-9,1.800,0.000,1.800,0.000
 , ,2.221E-9,1.800,0.000,1.800,0.000
 , ,2.225E-9,1.800,0.000,1.800,0.000
 , ,2.228E-9,1.800,0.000,1.800,0.000
 , ,2.232E-9,1.800,0.000,1.800,0.000
 , ,2.236E-9,1.800,0.000,1.800,0.000
 , ,2.240E-9,1.800,0.000,1.800,0.000
 , ,2.245E-9,1.800,0.000,1.800,0.000
 , ,2.250E-9,1.800,0.000,1.800,0.000
 , ,2.259E-9,1.800,0.000,1.800,0.000
 , ,2.270E-9,1.800,0.000,1.800,0.000
 , ,2.283E-9,1.800,0.000,1.800,0.000
 , ,2.298E-9,1.800,0.000,1.800,0.000
 , ,2.315E-9,1.800,0.000,1.800,0.000
 , ,2.335E-9,1.800,0.000,1.800,0.000
 , ,2.358E-9,1.800,0.000,1.800,0.000
 , ,2.374E-9,1.800,0.000,1.800,0.000
 , ,2.390E-9,1.800,0.000,1.800,0.000
 , ,2.401E-9,1.800,0.000,1.800,0.000
 , ,2.407E-9,1.800,0.000,1.800,0.000
 , ,2.415E-9,1.800,0.000,1.800,0.000
 , ,2.421E-9,1.800,0.000,1.800,0.000
 , ,2.424E-9,1.800,0.000,1.800,0.000
 , ,2.429E-9,1.800,0.000,1.800,0.000
 , ,2.434E-9,1.800,0.000,1.800,0.000
 , ,2.441E-9,1.800,0.000,1.800,0.000
 , ,2.447E-9,1.800,0.000,1.800,0.000
 , ,2.456E-9,1.800,0.000,1.800,0.000
 , ,2.469E-9,1.800,0.000,1.800,0.000
 , ,2.482E-9,1.800,0.000,1.800,0.000
 , ,2.497E-9,1.800,0.000,1.800,0.000
 , ,2.513E-9,1.800,0.000,1.800,0.000
 , ,2.528E-9,1.800,0.000,1.800,0.000
 , ,2.548E-9,1.800,0.000,1.800,0.000
 , ,2.570E-9,1.800,0.000,1.800,0.000
 , ,2.590E-9,1.800,0.000,1.800,0.000
 , ,2.606E-9,1.800,0.000,1.800,0.000
 , ,2.613E-9,1.800,0.000,1.800,0.000
 , ,2.619E-9,1.800,0.000,1.800,0.000
 , ,2.625E-9,1.800,0.000,1.800,0.000
 , ,2.630E-9,1.800,0.000,1.800,0.000
 , ,2.634E-9,1.800,0.000,1.800,0.000
 , ,2.639E-9,1.800,0.000,1.800,0.000
 , ,2.646E-9,1.800,0.000,1.800,0.000
 , ,2.653E-9,1.800,0.000,1.800,0.000
 , ,2.662E-9,1.800,0.000,1.800,0.000
 , ,2.675E-9,1.800,0.000,1.800,0.000
 , ,2.688E-9,1.800,0.000,1.800,0.000
 , ,2.703E-9,1.800,0.000,1.800,0.000
 , ,2.718E-9,1.800,0.000,1.800,0.000
 , ,2.734E-9,1.800,0.000,1.800,0.000
 , ,2.754E-9,1.800,0.000,1.800,0.000
 , ,2.777E-9,1.800,0.000,1.800,0.000
 , ,2.796E-9,1.800,0.000,1.800,0.000
 , ,2.812E-9,1.800,0.000,1.800,0.000
 , ,2.819E-9,1.800,0.000,1.800,0.000
 , ,2.825E-9,1.800,0.000,1.800,0.000
 , ,2.832E-9,1.800,0.000,1.800,0.000
 , ,2.838E-9,1.800,0.000,1.800,0.000
 , ,2.843E-9,1.800,0.000,1.800,0.000
 , ,2.849E-9,1.800,0.000,1.800,0.000
 , ,2.856E-9,1.800,0.000,1.800,0.000
 , ,2.864E-9,1.800,0.000,1.800,0.000
 , ,2.874E-9,1.800,0.000,1.800,0.000
 , ,2.890E-9,1.800,0.000,1.800,0.000
 , ,2.903E-9,1.800,0.000,1.800,0.000
 , ,2.919E-9,1.800,0.000,1.800,0.000
 , ,2.934E-9,1.800,0.000,1.800,0.000
 , ,2.952E-9,1.800,0.000,1.800,0.000
 , ,2.974E-9,1.800,0.000,1.800,0.000
 , ,3.001E-9,1.800,0.000,1.800,0.000
 , ,3.036E-9,1.800,0.000,1.800,0.000
 , ,3.089E-9,1.800,0.000,1.800,0.000
 , ,3.153E-9,1.800,0.000,1.800,0.000
 , ,3.235E-9,1.800,0.000,1.800,0.000
 , ,3.323E-9,1.800,0.000,1.800,0.000
 , ,3.409E-9,1.800,0.000,1.800,0.000
 , ,3.491E-9,1.800,0.000,1.800,0.000
 , ,3.578E-9,1.800,0.000,1.800,0.000
 , ,3.684E-9,1.800,0.000,1.800,0.000
 , ,3.778E-9,1.800,0.000,1.800,0.000
 , ,3.903E-9,1.800,0.000,1.800,0.000
 , ,4.000E-9,1.800,0.000,1.800,0.000
 , ,4.007E-9,1.800,126.0E-3,1.800,126.0E-3
 , ,4.018E-9,1.800,326.3E-3,1.800,326.3E-3
 , ,4.027E-9,1.800,491.3E-3,1.800,491.3E-3
 , ,4.033E-9,1.800,586.1E-3,1.800,586.1E-3
 , ,4.040E-9,1.800,719.3E-3,1.800,719.3E-3
 , ,4.045E-9,1.800,815.9E-3,1.800,815.9E-3
 , ,4.049E-9,1.800,884.1E-3,1.800,884.1E-3
 , ,4.054E-9,1.800,965.9E-3,1.800,965.9E-3
 , ,4.058E-9,1.800,1.043,1.800,1.043
 , ,4.064E-9,1.800,1.157,1.800,1.157
 , ,4.070E-9,1.800,1.267,1.800,1.267
 , ,4.078E-9,1.800,1.399,1.800,1.399
 , ,4.088E-9,1.800,1.576,1.800,1.576
 , ,4.094E-9,1.800,1.688,1.800,1.688
 , ,4.100E-9,1.800,1.800,1.800,1.800
 , ,4.102E-9,1.759,1.800,1.759,1.800
 , ,4.106E-9,1.700,1.800,1.700,1.800
 , ,4.109E-9,1.645,1.800,1.645,1.800
 , ,4.113E-9,1.566,1.800,1.566,1.800
 , ,4.118E-9,1.470,1.800,1.470,1.800
 , ,4.124E-9,1.364,1.800,1.364,1.800
 , ,4.130E-9,1.263,1.800,1.263,1.800
 , ,4.136E-9,1.145,1.800,1.145,1.800
 , ,4.144E-9,1.016,1.800,1.016,1.800
 , ,4.152E-9,863.8E-3,1.800,863.8E-3,1.800
 , ,4.162E-9,684.3E-3,1.800,684.3E-3,1.800
 , ,4.174E-9,473.3E-3,1.800,473.3E-3,1.800
 , ,4.185E-9,267.1E-3,1.800,267.1E-3,1.800
 , ,4.193E-9,133.5E-3,1.800,133.5E-3,1.800
 , ,4.200E-9,0.000,1.800,0.000,1.800
 , ,4.202E-9,0.000,1.800,0.000,1.800
 , ,4.206E-9,0.000,1.800,0.000,1.800
 , ,4.209E-9,0.000,1.800,0.000,1.800
 , ,4.214E-9,0.000,1.800,0.000,1.800
 , ,4.221E-9,0.000,1.800,0.000,1.800
 , ,4.225E-9,0.000,1.800,0.000,1.800
 , ,4.229E-9,0.000,1.800,0.000,1.800
 , ,4.233E-9,0.000,1.800,0.000,1.800
 , ,4.236E-9,0.000,1.800,0.000,1.800
 , ,4.241E-9,0.000,1.800,0.000,1.800
 , ,4.245E-9,0.000,1.800,0.000,1.800
 , ,4.251E-9,0.000,1.800,0.000,1.800
 , ,4.260E-9,0.000,1.800,0.000,1.800
 , ,4.272E-9,0.000,1.800,0.000,1.800
 , ,4.284E-9,0.000,1.800,0.000,1.800
 , ,4.294E-9,0.000,1.800,0.000,1.800
 , ,4.304E-9,0.000,1.800,0.000,1.800
 , ,4.316E-9,0.000,1.800,0.000,1.800
 , ,4.324E-9,0.000,1.800,0.000,1.800
 , ,4.333E-9,0.000,1.800,0.000,1.800
 , ,4.343E-9,0.000,1.800,0.000,1.800
 , ,4.353E-9,0.000,1.800,0.000,1.800
 , ,4.366E-9,0.000,1.800,0.000,1.800
 , ,4.378E-9,0.000,1.800,0.000,1.800
 , ,4.396E-9,0.000,1.800,0.000,1.800
 , ,4.413E-9,0.000,1.800,0.000,1.800
 , ,4.432E-9,0.000,1.800,0.000,1.800
 , ,4.455E-9,0.000,1.800,0.000,1.800
 , ,4.471E-9,0.000,1.800,0.000,1.800
 , ,4.485E-9,0.000,1.800,0.000,1.800
 , ,4.495E-9,0.000,1.800,0.000,1.800
 , ,4.506E-9,0.000,1.800,0.000,1.800
 , ,4.515E-9,0.000,1.800,0.000,1.800
 , ,4.524E-9,0.000,1.800,0.000,1.800
 , ,4.533E-9,0.000,1.800,0.000,1.800
 , ,4.545E-9,0.000,1.800,0.000,1.800
 , ,4.555E-9,0.000,1.800,0.000,1.800
 , ,4.568E-9,0.000,1.800,0.000,1.800
 , ,4.579E-9,0.000,1.800,0.000,1.800
 , ,4.597E-9,0.000,1.800,0.000,1.800
 , ,4.613E-9,0.000,1.800,0.000,1.800
 , ,4.632E-9,0.000,1.800,0.000,1.800
 , ,4.654E-9,0.000,1.800,0.000,1.800
 , ,4.672E-9,0.000,1.800,0.000,1.800
 , ,4.690E-9,0.000,1.800,0.000,1.800
 , ,4.701E-9,0.000,1.800,0.000,1.800
 , ,4.712E-9,0.000,1.800,0.000,1.800
 , ,4.724E-9,0.000,1.800,0.000,1.800
 , ,4.733E-9,0.000,1.800,0.000,1.800
 , ,4.741E-9,0.000,1.800,0.000,1.800
 , ,4.751E-9,0.000,1.800,0.000,1.800
 , ,4.762E-9,0.000,1.800,0.000,1.800
 , ,4.774E-9,0.000,1.800,0.000,1.800
 , ,4.786E-9,0.000,1.800,0.000,1.800
 , ,4.803E-9,0.000,1.800,0.000,1.800
 , ,4.820E-9,0.000,1.800,0.000,1.800
 , ,4.840E-9,0.000,1.800,0.000,1.800
 , ,4.863E-9,0.000,1.800,0.000,1.800
